2025-03-25 12:19:19,493 - INFO - Conectado a la base de datos exitosamente.
2025-03-25 12:19:19,495 - INFO - Elementos de la tabla Anexos:
2025-03-25 12:19:19,495 - INFO - 0- (' 001/2019/6676-5259', 'N/A', 'N/A', False)
2025-03-25 12:19:19,495 - INFO - 1- (' 001/2020/2469-1986', 'N/A', 'N/A', False)
2025-03-25 12:19:19,495 - INFO - 2- (' 1089573X', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3a004267-af98-44fb-8fda-ae3842550ee5', 'anexo i.odt', True)
2025-03-25 12:19:19,496 - INFO - 3- (' 1395468A', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3a7b2f02-008f-4786-8861-2442bba7df9c', 'anexo v-confidencialidad de datos y documentos.odt', True)
2025-03-25 12:19:19,496 - INFO - 4- (' 1483292D', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 5- (' 1644/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 6- (' 190/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 7- (' 2021/OFI_01/000268', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 8- (' 2294/2021', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 9- (' 3490/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 10- (' 46-CG-145/2022 - 5944', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 11- (' 756/2021', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 12- (' 787289H', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 13- (' 797731K', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=6fc97822-b390-4759-b048-6f4d7149ffa0', 'anexo v-modelo confidencialidad documentacion.odt', True)
2025-03-25 12:19:19,496 - INFO - 14- (' 896943E', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 15- (' 911326F', 'N/A', 'N/A', False)
2025-03-25 12:19:19,496 - INFO - 16- (' 993358P', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3a55cc15-1fef-4488-aceb-7e882d50c312', 'anexo v- confidencialidad documentos.odt', True)
2025-03-25 12:19:19,496 - INFO - 17- (' CNMY23/ATV/06', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=285a7757-ebcb-4882-b3b5-c50bc6315590', 'anexo i pass cnmy23 atv 06.pdf', True)
2025-03-25 12:19:19,496 - INFO - 18- (' E 70010 2020 115 (2021_014)', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=ef65d73b-cdd0-43a5-a07e-c3510897a4f7', '12 annex1 exp 2020 115 signat el 28 07 2021.pdf', True)
2025-03-25 12:19:19,496 - INFO - 19- (' Expte. Sedival:1387503N', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3b194730-a1a7-42ac-a37f-116d049ab446', 'anexo i.pdf', True)
2025-03-25 12:19:19,496 - INFO - 20- (' PAS 453 2022', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=54a9af7e-c9ff-4f70-84db-5f8cef46931d', 'p a s obras mas anexos word fondos react.zip', True)
2025-03-25 12:19:19,496 - INFO - 21- ('@733811H', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=d905011a-83b8-464b-a686-b39d62c52a6d', 'anexo i 733811h.pdf', True)
2025-03-25 12:19:19,496 - INFO - 22- ('000055/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=0cf6ca6f-add4-4d37-a48d-9e33e72e2adb', 'anexo i.docx', True)
2025-03-25 12:19:19,496 - INFO - 23- ('000056/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=61064739-6be9-4698-b203-3217d1f4c96a', 'anexos i.docx', True)
2025-03-25 12:19:19,497 - INFO - 24- ('000057/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=1d02f5bb-d847-43fd-bc42-fa4a23bc8b3d', 'anexos i.docx', True)
2025-03-25 12:19:19,497 - INFO - 25- ('000080/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=50a64475-683d-4059-9236-ff56974719e1', 'anexo i.docx', True)
2025-03-25 12:19:19,497 - INFO - 26- ('000081/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=65faf365-1272-46d6-8566-68839c82c487', 'anexo i.docx', True)
2025-03-25 12:19:19,497 - INFO - 27- ('000099/2020-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=e9056f6d-1f0f-4409-bfb4-8285d90de85e', 'anexo_i.docx', True)
2025-03-25 12:19:19,497 - INFO - 28- ('000110/2021-GENSEC', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=333b5299-e7e0-4ba0-af95-6893413a1920', 'anexo i.docx', True)
2025-03-25 12:19:19,497 - INFO - 29- ('0007/2103-CI', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 30- ('001/2019/12531', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 31- ('001/2019/14060-11234', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 32- ('001/2020/2147-1716', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 33- ('001/2020/2461', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 34- ('001/2020/2464-1982', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 35- ('001/2020/2466-1983', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 36- ('001/2020/2477-1994', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 37- ('001/2020/2483-2000', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 38- ('001/2020/2486-2003', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 39- ('001/2020/3145-2509', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 40- ('001/2020/3147-2511', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 41- ('001/2020/5518-4184', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 42- ('001/2021/10076', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 43- ('001/2021/10079', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 44- ('001/2021/10680', 'N/A', 'N/A', False)
2025-03-25 12:19:19,497 - INFO - 45- ('001/2021/11258', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 46- ('001/2021/11843', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 47- ('001/2021/128', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 48- ('001/2021/12979', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 49- ('001/2021/13150', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 50- ('001/2021/13992', 'N/A', 'N/A', False)
